experiment_id,experiment_version,cell_id,task_id,repository,task_type,condition,model,reasoning_effort,repeat,status,terminal_reason,recall_at_3,recall_at_5,ndcg_at_3,returned_set_f1,provider_total_tokens,elapsed_seconds,agent_step_count,wiki_read_count,wiki_tokens,unique_wiki_pages,beyond_entry_reads,gold_seen_any,gold_seen_by_3_source_actions,gold_targeted_any
sympy-10-tasks,2026-09-01-v4,cell-000018,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-sol,low,1,succeeded,,0.0,0.0,0.0,0.0,83847,32.775,4,1,227,1,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000019,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-sol,medium,1,succeeded,,0.0,0.0,0.0,0.0,100332,32.488,2,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000020,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-sol,medium,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,311670,109.029,10,0,0,0,0,1,0,1
sympy-10-tasks,2026-09-01-v4,cell-000021,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-sol,medium,1,succeeded,,0.0,0.0,0.0,0.0,99721,43.493,4,1,227,1,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000022,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-sol,high,1,succeeded,,1.0,1.0,1.0,0.4,438267,114.537,10,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000023,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-sol,high,1,succeeded,,1.0,1.0,1.0,0.4,374319,116.463,10,0,0,0,0,1,0,1
sympy-10-tasks,2026-09-01-v4,cell-000024,035b138f25c2c1b022a4d822c98e5564bf75f8727109d18ec3757ce8ec6dfd7a,sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-sol,high,1,succeeded,,1.0,1.0,1.0,0.4,426916,120.08,13,1,227,1,0,1,0,1
sympy-10-tasks,2026-09-01-v4,cell-000025,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-luna,medium,1,succeeded,,1.0,1.0,1.0,0.5,62765,30.102,4,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000026,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-luna,medium,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,50831,26.23,3,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000027,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-luna,medium,1,succeeded,,1.0,1.0,1.0,0.5,69997,37.891,7,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000028,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-luna,high,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,61446,25.296,3,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000029,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-luna,high,1,succeeded,,1.0,1.0,1.0,1.0,61857,31.286,3,0,0,0,0,1,1,1
